Id,Type,Raius,Sec-order Der,#branch_points,Dist_to_root,Dist_to_leaf
57,242,0.325715988,2.87799959583,7,41.83943508657802,13.067760425748586
58,219,0.30088708000000003,1.75305073202,7,43.059486883712815,11.847708628613793
59,148,0.26053336400000005,0.320715414769,7,44.90920963320799,9.997985879118616
60,147,0.22017876400000003,0.302992491443,7,46.443741095902716,8.463454416423895
61,130,0.197668588,0.0382027617295,7,47.340165447615234,7.567030064711379
62,121,0.197668588,-0.0932554401759,7,47.89306653983987,7.014128972486742
63,114,0.197668588,-0.200865275088,7,48.44864770516498,6.4585478071616365
64,138,0.31873062,0.172717290653,7,48.928842819409184,5.978352692917436
65,134,0.31873062,0.100766266008,7,49.26771312454907,5.639482387777551
66,113,0.31873062,-0.217059530466,7,50.40430939627894,4.502886116047683
67,103,0.466085464,-0.370293221337,7,51.23560560617046,3.6715899061561603
68,107,0.46466310800000005,-0.30670892097,7,52.01903518278855,2.8881603295380707
69,127,0.366483416,0,7,52.79892728725316,2.10826822507346
70,121,0.360041708,-0.0889405896704,8,54.04346072222155,11.963574758328127
71,128,0.289234192,0.00781422173252,8,55.23458491134952,10.772450569200158
72,131,0.2652,0.0582520064536,8,56.01226877314685,9.994766707402828
73,133,0.2652,0.0847328986731,8,56.49962484402169,9.507410636527991
74,136,0.175978764,0.12897989259,8,57.56857511991257,8.438460360637109
75,138,0.206203608,0.16042947295,8,59.71532545898435,6.291710021565329
76,137,0.14733362800000002,0.146052314878,8,60.85158791106134,5.155447569488345
77,136,0.17427176000000003,0.12996832466,8,61.44623462971032,4.560800850839364
78,132,0.241458412,0.0775401836749,8,62.68564797995276,3.3213875005969205
79,124,0.26478894000000003,-0.042095688805,8,64.46130974354581,1.5457257370038664
80,127,0.19910774,0,8,65.46912220126791,0.5379132792817746
81,127,0.188916988,0,8,66.00703548054969,0
82,127,0.23188292400000002,0,8,54.907195512326616,0
83,182,0.8396426480000001,0.882636868168,7,42.048727636501006,14.926170020735947
84,215,0.3860428,1.64674329656,7,43.7287473060791,13.246150351157857
85,157,0.33617017200000004,0.468438349269,7,45.635050177561766,11.339847479675194
86,144,0.364482924,0.2640584472,7,46.12371628033543,10.851181376901533
87,127,0.364482924,-0.00528423173184,7,47.450732973484385,9.524164683752575
88,127,0.281365708,-0.00663706883547,7,48.41330547651896,8.561592180718007
89,126,0.19824937600000003,-0.0163227317492,7,49.871755804369,7.103141852867961
90,137,0.33084937600000003,0.158959706533,7,50.6347863278066,6.340111329430364
91,144,0.320468564,0.263714163121,7,51.432125798205306,5.542771859031664
92,139,0.18233384000000002,0.178875290064,7,52.70688239774522,4.268015259491752
93,125,0.22100000000000003,-0.0288926739375,7,53.98160077931448,2.993296877922489
94,127,0.44200000000000006,0.00677241599555,7,54.84620776789212,2.1286898893448547
95,127,0.3536,0,7,56.4720349274053,0.5028627298316707
