Id,Type,Raius,Sec-order Der,#branch_points,Dist_to_root,Dist_to_leaf
5,75,0.501481708,-0.805453517486,0,13.239139508617402,17.113345082677736
6,31,0.600221856,-1.82426844646,0,14.532257459249594,15.820227132045543
7,126,0.34536200400000006,-0.0185794498442,0,15.602090012009885,14.750394579285253
8,129,0.264858776,0.0311653868928,1,16.355075104592732,26.441562103197068
9,180,0.228555548,0.822603579635,1,16.911654886910416,25.884982320879384
10,154,0.20695412400000002,0.398681632412,1,17.684765955490242,25.111871252299558
11,102,0.18535270000000004,-0.366763972804,1,18.45787702407007,24.33876018371973
12,117,0.21984372800000002,-0.143048621568,1,19.44319125752171,23.35344595026809
13,117,0.21241282400000003,-0.148081842291,1,19.904418542593877,22.892218665195923
14,131,0.168212824,0.0537560039678,1,20.365569755929375,22.431067451860425
15,97,0.168212824,-0.442232010763,1,20.82679704100154,21.96984016678826
16,136,0.11030905600000002,0.130327452073,1,21.29403699492209,21.50260021286771
17,159,0.17913641200000002,0.471482427227,1,21.860533722897813,20.936103484891987
18,129,0.278664204,0.0255580951549,1,22.23656434589142,20.56007286189838
19,91,0.378191112,-0.539617035547,1,22.6125820736118,20.184055134178
20,131,0.374999872,0.059874384086,1,23.505779874159924,19.290857333629877
21,145,0.17881463600000003,0.257624850289,1,24.06232800471454,18.73430920307526
22,176,0.11946287600000002,0.751362812252,2,25.546195436822032,17.250441770967768
23,69,0.14897521600000002,-0.920625665619,2,26.38981123318936,16.40682597460044
24,26,0.31843182800000003,-1.99502703447,2,26.811615039650516,15.985022168139286
25,26,0.17848844,-2.01055396936,2,27.23339636357086,15.56324084421894
26,127,0.035712274,-8.05787789757e-05,2,27.85385051094834,14.942786696841459
27,214,0.0255363732,1.55982649397,2,29.184593781557545,13.612043426232255
28,208,0.02728466,1.40429439952,2,29.87625014903978,12.92038705875002
29,178,0.029032946800000004,0.783024431289,2,30.524211190880663,12.272426016909138
30,117,0.029032946800000004,-0.145636512046,2,30.895862750005605,11.900774457784198
31,121,0.029032946800000004,-0.0853312298918,2,31.267514309130547,11.529122898659256
32,98,0.13953321200000002,-0.43068904044,2,31.46861639290891,11.328020814880894
33,75,0.250033212,-0.808896250867,2,31.669720548509932,11.126916659279873
34,48,0.126020388,-1.35439134658,2,32.013597401758304,10.783039806031503
35,38,0.0462073872,-1.60999734724,2,32.357442564787476,10.43919464300233
36,99,0.195981916,-0.415162681332,2,33.06281961565885,9.733817592130952
37,109,0.07196909200000001,-0.270551143586,2,33.70612132333263,9.090515884457174
38,204,0.08055626800000001,1.29848785793,2,34.3358427270108,8.460794480779008
39,208,0.09356698,1.39375822732,2,34.855128337876344,7.941508869913463
40,199,0.06237813400000001,1.18007918058,2,35.322879553802075,7.4737576539877315
41,177,0.0577091112,0.762552354545,2,35.73038341881442,7.066253788975386
42,136,0.053040000000000004,0.129581574148,2,36.137887283826764,6.658749923963041
43,63,0.15912,-1.03267640515,2,36.67453925752458,6.122097950265227
